,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0.0,0.01694915254237288,0.07142857142857142,0.01694915254237288,0.05263157894736842,0.09090909090909091,0.034482758620689655,0.0,0.0,0.01694915254237288,0.07142857142857142,0.05263157894736842,0.034482758620689655,0.01694915254237288,0.07142857142857142,0.01694915254237288,0.07142857142857142,0.1320754716981132,0.01694915254237288,0.01694915254237288,0.07142857142857142,0.01694915254237288,0.1111111111111111,0.05263157894736842
Breast-AdenoCA,0.01694915254237288,0.0,0.05263157894736842,0.0,0.01694915254237288,0.07142857142857142,0.034482758620689655,0.05263157894736842,0.01694915254237288,0.05263157894736842,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.09090909090909091,0.05263157894736842,0.05263157894736842,0.01694915254237288,0.034482758620689655,0.01694915254237288,0.05263157894736842,0.034482758620689655,0.1111111111111111,0.034482758620689655,0.034482758620689655
CNS-GBM,0.07142857142857142,0.05263157894736842,0.0,0.05263157894736842,0.07142857142857142,0.05263157894736842,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.05263157894736842,0.07142857142857142,0.034482758620689655,0.07142857142857142,0.07142857142857142,0.034482758620689655,0.05263157894736842,0.034482758620689655,0.09090909090909091,0.034482758620689655,0.05263157894736842,0.07142857142857142,0.034482758620689655,0.05263157894736842,0.01694915254237288
CNS-Medullo,0.01694915254237288,0.0,0.05263157894736842,0.0,0.1111111111111111,0.07142857142857142,0.07142857142857142,0.05263157894736842,0.09090909090909091,0.034482758620689655,0.07142857142857142,0.09090909090909091,0.07142857142857142,0.01694915254237288,0.05263157894736842,0.05263157894736842,0.034482758620689655,0.034482758620689655,0.07142857142857142,0.01694915254237288,0.034482758620689655,0.1320754716981132,0.07142857142857142,0.07142857142857142
CNS-PiloAstro,0.05263157894736842,0.01694915254237288,0.07142857142857142,0.1111111111111111,0.0,0.2,0.1111111111111111,0.034482758620689655,0.09090909090909091,0.09090909090909091,0.15384615384615385,0.05263157894736842,0.07142857142857142,0.1111111111111111,0.034482758620689655,0.05263157894736842,0.01694915254237288,0.09090909090909091,0.034482758620689655,0.09090909090909091,0.05263157894736842,0.22448979591836735,0.15384615384615385,0.05263157894736842
ColoRect-AdenoCA,0.09090909090909091,0.07142857142857142,0.05263157894736842,0.07142857142857142,0.2,0.0,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.01694915254237288,0.05263157894736842,0.05263157894736842,0.034482758620689655,0.05263157894736842,0.01694915254237288,0.05263157894736842,0.034482758620689655,0.07142857142857142,0.05263157894736842,0.05263157894736842,0.01694915254237288,0.2765957446808511,0.1111111111111111,0.1111111111111111
Eso-AdenoCA,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.0,0.05263157894736842,0.034482758620689655,0.07142857142857142,0.05263157894736842,0.05263157894736842,0.17647058823529413,0.034482758620689655,0.09090909090909091,0.01694915254237288,0.01694915254237288,0.17647058823529413,0.15384615384615385,0.05263157894736842,0.07142857142857142,0.3333333333333333,0.09090909090909091,0.09090909090909091
Head-SCC,0.0,0.05263157894736842,0.034482758620689655,0.05263157894736842,0.034482758620689655,0.1111111111111111,0.05263157894736842,0.0,0.09090909090909091,0.05263157894736842,0.05263157894736842,0.034482758620689655,0.07142857142857142,0.15384615384615385,0.034482758620689655,0.1320754716981132,0.15384615384615385,0.07142857142857142,0.034482758620689655,0.07142857142857142,0.05263157894736842,0.05263157894736842,0.01694915254237288,0.15384615384615385
Kidney-ChRCC,0.0,0.01694915254237288,0.034482758620689655,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.034482758620689655,0.09090909090909091,0.0,0.01694915254237288,0.07142857142857142,0.05263157894736842,0.15384615384615385,0.034482758620689655,0.01694915254237288,0.1111111111111111,0.05263157894736842,0.01694915254237288,0.09090909090909091,0.09090909090909091,0.034482758620689655,0.09090909090909091,0.034482758620689655,0.034482758620689655
Kidney-RCC,0.01694915254237288,0.05263157894736842,0.05263157894736842,0.034482758620689655,0.09090909090909091,0.01694915254237288,0.07142857142857142,0.05263157894736842,0.01694915254237288,0.0,0.09090909090909091,0.01694915254237288,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.07142857142857142,0.01694915254237288
